"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","YPRR"
"","60864","54784","304505","8d9236c0-ce09-11ec-9598-03840dd5f387","Jake Tonges","49ers","88","TE","75.6","47","289","69","57","41","371","9.1","5","26","2","1","1","46","10","2","182","4.4","1.28"
"","60878","53591","280584","c97dfcb6-b999-476f-8487-f3848e92df17","Noah Gray","Chiefs","83","TE","52.4","33","275","91","37","23","209","9.1","0","9","2","0","0","28","3","3","120","5.2","0.76"
"","60917","54593","310010","3c048ac9-2c0f-4bf0-9ddc-ce99c9387ac8","Charlie Kolar","Ravens","88","TE","75","9","105","26","14","10","142","14.2","2","9","0","0","0","10","2","1","51","5.1","1.35"
"","60994","53959","279365","8f182089-7730-499e-8f2e-87bda32debfb","Brock Wright","Lions","89","TE","54.2","15","130","33","19","14","108","7.7","2","7","1","0","0","16","1","0","83","5.9","0.83"
"","60995","52451","279363","036feeb6-9a22-43c5-a8e3-7ac611d8ff49","Cole Kmet","Bears","85","TE","61.1","48","416","111","53","35","391","11.2","3","19","2","0","0","39","8","2","170","4.9","0.94"
"","60997","54663","281599","f6988cfa-2dcf-490b-ac80-9af8e4292efa","Grant Calcaterra","Eagles","81","TE","51.5","11","122","34","12","9","76","8.4","1","4","1","0","0","10","2","1","32","3.6","0.62"
"","61004","56207","289381","1d1eb430-f01e-11ed-97df-a94b89ac5704","Travis Vokolek","Cardinals","81","TE","51.4","1","7","2","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.00"
"","61071","54571","300837","f23517bd-ae85-484a-8ecb-1f7a2d851e48","Cade Otton","Buccaneers","88","TE","58.1","71","566","150","84","60","601","10.0","1","25","2","0","0","67","22","7","330","5.5","1.06"
"","61081","54594","305484","f46eab3d-d7dd-4420-b3f9-6da9ac1308ab","Jake Ferguson","Cowboys","87","TE","60","84","546","198","104","83","602","7.3","8","30","5","3","2","90","24","13","308","3.7","1.10"
"","61182","53855","281756","eab74cbc-ed11-46b3-bd16-1d4c997adc22","Quintin Morris","Jaguars","80","TE","54.3","9","81","20","8","6","55","9.2","1","4","1","0","0","7","0","0","21","3.5","0.68"
