"","down","ydstogo","yardline_100","touchdown"
"853",1,10,76,0
"854",2,12,78,0
"855",3,10,76,0
"856",4,7,73,0
"857",1,10,76,0
"858",2,10,76,0
"859",3,7,73,0
"860",4,3,69,0
"861",1,10,82,0
"862",2,5,77,0
"863",3,5,77,0
"864",1,10,62,0
"865",2,10,62,0
"866",3,10,62,0
"867",4,3,55,0
"868",1,10,44,0
"869",NA,0,NA,0
"870",2,11,45,0
"871",NA,0,NA,0
"872",3,3,37,0
"873",NA,0,NA,0
"874",1,10,33,0
"875",2,11,34,0
"876",3,12,35,0
"877",NA,0,NA,NA
"878",NA,0,NA,NA
"879",NA,0,35,0
"880",1,10,83,0
"881",2,9,82,0
"882",1,10,62,0
"883",2,10,62,0
"884",3,10,62,0
"885",1,10,46,0
"886",2,8,44,0
"887",3,6,42,0
"888",1,10,31,0
"889",1,10,16,0
"890",2,9,15,0
"891",3,9,15,1
"892",NA,0,15,0
"893",NA,0,35,0
"894",1,10,76,0
"895",2,9,75,0
"896",3,7,73,0
"897",4,9,75,0
"898",4,14,80,0
"899",1,10,52,0
"900",2,10,52,0
"901",3,7,49,0
"902",1,10,23,0
"903",2,5,18,0
"904",3,3,16,0
"905",4,3,16,0
"906",NA,0,35,0
"907",1,10,90,0
"908",1,15,95,0
"909",2,1,81,0
"910",1,10,76,0
"911",2,12,78,0
"912",1,10,59,0
"913",2,5,54,0
"914",NA,0,50,NA
"915",3,1,50,0
"916",1,10,48,0
"917",2,11,49,0
"918",1,10,30,0
"919",2,7,27,0
"920",3,5,25,0
"921",1,10,17,0
"922",2,5,12,0
"923",3,5,12,0
"924",4,5,12,0
"925",NA,0,35,0
"926",1,10,65,0
"927",1,10,17,1
"928",NA,0,15,0
"929",NA,0,35,0
"930",1,10,71,0
"931",2,4,65,0
"932",3,1,62,0
"933",1,10,55,0
"934",2,4,49,0
"935",3,2,47,0
"936",1,10,38,0
"937",2,10,38,0
"938",3,6,34,0
"939",4,2,30,0
"940",1,10,19,0
"941",2,10,19,0
"942",3,7,16,0
"943",1,10,87,0
"944",2,5,82,0
"945",3,1,78,0
"946",NA,0,NA,0
"947",4,1,78,0
"948",1,10,82,0
"949",NA,0,NA,NA
"950",NA,0,35,0
"951",1,10,68,0
"952",2,5,63,0
"953",1,10,31,0
"954",2,9,30,0
"955",3,5,26,0
"956",1,10,10,0
"957",2,10,10,0
"958",3,16,16,0
"959",4,9,9,0
"960",NA,0,35,0
"961",1,10,76,0
"962",2,4,70,0
