"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","27948","53678","195198","5521ba64-e615-4d50-b9bf-490498571ac7","Ben Skowronek","Steelers","15","WR","61.6","8","60","33","6","4","69","17.3","1","4","0","0","0","4","0","0","25","6.3","11.2"
"","28253","54874","194597","711a03f0-cfea-11ec-8762-8dfa2bbad12c","Brenden Schooler","Patriots","41","S","60","0","1","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","28305","52942","337575","0226b03b-f91d-4223-9813-9fcd2e9c3acc","Juwan Johnson","Saints","83","TE","69.1","82","559","162","101","77","889","11.6","3","41","7","2","2","86","25","14","363","4.7","7.7"
"","29048","46072","194671","13d826c5-9b22-4e0a-a877-02d8c84c546b","Sam Darnold","Seahawks","14","QB","58.9","0","1","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","29049","52442","194669","1aefd5e2-1f85-471a-91a5-4aad4cf6fe6d","Michael Pittman Jr.","Colts","11","WR","70.8","96","574","198","118","86","846","9.8","7","47","5","0","0","93","16","7","290","3.4","8.4"
"","29413","46377","159399","72cf3127-3953-4fd8-8049-3de1b6fa9825","Jeff Wilson Jr.","Dolphins","34","HB","55.6","0","5","0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","29573","53485","195180","4a76219c-34b8-4cfe-81ab-2bb011368367","D'Wayne Eskridge","Dolphins","82","WR","65.4","6","61","24","6","4","62","15.5","0","3","0","0","0","4","2","2","8","2.0","13.0"
"","30762","46189","160020","383f4814-6836-4766-a297-fc063e8509cc","Will Dissly","Chargers","89","TE","55.4","12","99","29","15","11","97","8.8","0","5","1","0","0","13","3","0","68","6.2","4.1"
"","32565","47749","160008","12b701c8-7f40-4437-aeef-782fd1d25f2e","Jakob Johnson","Texans","43","FB","48.5","0","11","1","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0"
"","32933","54810","172390","75774350-ce18-11ec-bebb-4fec1e38b0e5","Britain Covey","Eagles","18","WR","57.3","4","28","11","4","2","20","10.0","0","2","1","0","0","3","1","0","19","9.5","2.5"
